商品名,製品重量 g/個,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物 g,ナトリウム mg,カリウム mg,カルシウム mg,リン mg,鉄 mg,ビタミンA μg,ビタミンB1 mg,ビタミンB2 mg,ナイアシン mg,ビタミンC mg,コレステロール mg,食物繊維 mg,食塩相当量 g,備考
アイスカフェラテ(S),274,73,3.7,4.0,5.5,44,212,118,101,0.0,40,0.04,0.16,1.0,1,-,-,0.1,14
アイスキャラメルラテ(M),418,154,5.2,5.7,20.4,71,307,169,146,0.0,58,0.06,0.23,1.4,2,-,-,0.2,15
アイスキャラメルラテ(S),297,124,3.7,4.0,18.1,53,217,120,103,0.0,41,0.04,0.16,1.0,1,-,-,0.1,16
カフェラテ(M),230,120,6.0,6.6,9.0,72,339,194,166,0.0,67,0.07,0.26,1.4,2,-,-,0.2,
カフェラテ(S),163,86,4.3,4.7,6.4,52,240,139,119,0.0,48,0.05,0.19,1.0,1,-,-,0.1,
ガムシロップ,8,23,0.0,0.0,5.7,0,0,0,0,0.0,0,0.00,0.00,0.0,0,0,0.0,0.0,
キャラメルラテ(M),253,171,6.0,6.6,21.6,82,344,196,169,0.0,67,0.07,0.27,1.4,2,-,-,0.2,
キャラメルラテ(S),186,137,4.3,4.8,19.0,61,245,141,121,0.0,48,0.05,0.19,1.0,1,-,-,0.2,
コーヒーフレッシュ,5,11,0.2,1.0,0.2,10,0,0,2,0.0,0,0.00,0.00,0.0,0,0,0.0,0.0,
コカ・コーラ ゼロ(L),540,0,0.0,0.0,0.0,21,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.1,17
コカ・コーラ ゼロ(M),425,0,0.0,0.0,0.0,16,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,18
コカ・コーラ ゼロ(S),275,0,0.0,0.0,0.0,11,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,19
コカ・コーラ(L),540,181,0.0,0.0,45.4,8,0,8,67,0.0,0,0.00,0.00,-,0,-,-,0.0,20
コカ・コーラ(M),425,140,0.0,0.0,35.1,7,0,7,52,0.0,0,0.00,0.00,-,0,-,-,0.0,21
コカ・コーラ(S),275,90,0.0,0.0,22.7,4,0,4,34,0.0,0,0.00,0.00,-,0,-,-,0.0,22
サントリー黒烏龍茶#濃いめ,250,3,0.0,0.0,1.0,28,68,1,6,-,-,-,-,-,103,-,0.3,0.1,
シュガー,3,12,0.0,0.0,3.0,0,0,0,0,0.0,0,0.00,0.00,0.0,0,0,0.0,0.0,
スプライト(L),540,160,0.0,0.0,39.9,34,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.1,23
スプライト(M),425,124,0.0,0.0,30.9,26,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.1,24
スプライト(S),275,80,0.0,0.0,19.9,17,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,25
ファンタ グレープ(L),540,202,0.0,0.0,50.4,17,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,26
ファンタ グレープ(M),425,156,0.0,0.0,39.0,13,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,27
ファンタ グレープ(S),275,101,0.0,0.0,25.2,8,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,28
ファンタ メロン(L),540,202,0.0,0.0,50.4,8,0,0,8,0.0,0,0.00,2.94,-,0,-,-,0.0,29
ファンタ メロン(M),425,156,0.0,0.0,39.0,7,0,0,7,0.0,0,0.00,2.27,-,0,-,-,0.0,30
ファンタ メロン(S),275,101,0.0,0.0,25.2,4,0,0,4,0.0,0,0.00,1.47,-,0,-,-,0.0,31
プレミアムローストアイスコーヒー(L),495,14,0.8,0.0,2.4,2,249,6,18,0.0,0,0.00,0.00,3.6,0,-,-,0.0,32
プレミアムローストアイスコーヒー(M),435,10,0.6,0.0,1.8,1,187,5,13,0.0,0,0.00,0.00,2.7,0,-,-,0.0,33
プレミアムローストアイスコーヒー(S),255,7,0.4,0.0,1.2,1,125,3,9,0.0,0,0.00,0.00,1.8,0,-,-,0.0,34
プレミアムローストコーヒー(M),300,11,0.8,0.0,1.8,4,216,6,17,0.0,0,0.00,0.03,2.5,0,-,-,0.0,
プレミアムローストコーヒー(S),175,6,0.4,0.0,1.1,2,126,4,10,0.0,0,0.00,0.02,1.4,0,-,-,0.0,
ホットティー(ストレート)(M),300,3,0.3,0.0,0.3,3,24,3,6,0.0,0,0.00,0.03,0.3,0,0,0.0,0.0,
ホットティー(ストレート)(S),175,2,0.2,0.0,0.2,2,14,2,4,0.0,0,0.00,0.02,0.2,0,0,0.0,0.0,
ホットティー(ミルク)(M),305,14,0.5,1.0,0.5,13,24,3,8,0.0,0,0.00,0.03,0.3,0,0,0.0,0.0,35
ホットティー(ミルク)(S),180,12,0.4,1.0,0.3,12,14,2,5,0.0,0,0.00,0.02,0.2,0,0,0.0,0.0,36
ホットティー(レモン)(M),305,4,0.3,0.0,0.6,3,30,3,7,-,-,0.00,-,0.3,1,-,-,0.0,37
ホットティー(レモン)(S),180,3,0.2,0.0,0.5,2,20,2,5,-,-,0.00,-,0.2,1,-,-,0.0,38
マックシェイク® ストロベリー(M),308,356,6.8,4.1,72.5,195,368,239,246,0.0,3,0.11,0.38,0.3,0,8,0.5,0.5,
マックシェイク® ストロベリー(S),190,216,4.2,2.5,43.7,121,230,149,154,0.0,2,0.07,0.24,0.2,0,5,0.3,0.3,
マックシェイク® チョコレート(M),307,363,7.5,4.6,72.6,268,518,245,270,1.6,3,0.11,0.39,0.3,0,8,1.6,0.7,
マックシェイク® チョコレート(S),189,220,4.6,2.8,43.8,161,312,153,167,0.9,2,0.07,0.24,0.2,0,5,0.9,0.4,
マックシェイク® バニラ(M),308,353,6.8,4.1,71.9,191,364,238,246,0.0,3,0.11,0.38,0.3,0,8,0.5,0.5,
マックシェイク® バニラ(S),190,214,4.2,2.5,43.4,119,227,149,153,0.0,2,0.07,0.24,0.2,0,5,0.3,0.3,
マックフィズ® なみ色ヨーグルト味,372,137,0.1,0.0,34.2,31,5,4,5,0.0,0,0.00,0.00,-,0,-,-,0.0,39
マックフロート® なみ色ヨーグルト味,447,244,2.9,3.0,51.4,88,147,102,104,0.0,35,0.04,0.16,-,0,-,-,0.2,40
マックフロート® グレープ,411,205,2.8,3.0,42.0,65,142,98,99,0.0,35,0.04,0.16,-,0,-,-,0.1,41
マックフロート® コーク®,411,195,2.8,3.0,39.5,61,142,102,132,0.0,35,0.04,0.16,-,0,-,-,0.1,42
マックフロート® コーヒー,420,113,3.2,3.0,18.5,57,271,102,108,0.0,35,0.04,0.16,2.0,0,-,-,0.1,43
マックフロート® メロン,411,205,2.8,3.0,42.0,61,142,98,103,0.0,35,0.04,1.61,-,0,-,-,0.1,44
ミニッツメイド アップル100,209,96,0.0,0.0,23.8,0,253,6,23,0.0,0,0.00,0.00,-,0,-,-,0.0,
ミニッツメイド オレンジ(L),540,185,4.2,0.0,43.7,0,865,38,84,0.4,17,0.42,0.00,1.3,172,-,1.3,0.0,45
ミニッツメイド オレンジ(M),425,143,3.3,0.0,33.8,0,670,29,65,0.3,13,0.33,0.00,1.0,133,-,1.0,0.0,46
ミニッツメイド オレンジ(S),275,92,2.1,0.0,21.8,0,433,19,42,0.2,8,0.21,0.00,0.6,86,-,0.6,0.0,47
ミルク,206,137,6.7,7.8,9.7,84,301,227,190,0.0,78,0.08,0.31,0.2,2,25,0.0,0.2,48
リキッドレモン,5,1,0.0,0.0,0.3,0,6,0,1,-,-,0.00,-,0.0,1,-,-,0.0,
爽健美茶(L),510,0,0.0,0.0,0.0,0,12,1,2,0.0,0,0.00,0.00,0.0,0,-,-,0.0,49
爽健美茶(M),415,0,0.0,0.0,0.0,0,10,1,2,0.0,0,0.00,0.00,0.0,0,-,-,0.0,50
爽健美茶(S),250,0,0.0,0.0,0.0,0,6,0,1,0.0,0,0.00,0.00,0.0,0,-,-,0.0,51
野菜生活100(L),556,160,1.3,0.4,37.8,123,666,36,64,0.5,1359,0.09,0.06,1.8,6,-,0.8,0.3,52
野菜生活100(M),437,123,1.0,0.3,29.0,94,511,28,49,0.4,1042,0.07,0.05,1.4,5,-,0.6,0.2,53
野菜生活100(S),283,79,0.6,0.2,18.7,61,330,18,32,0.2,673,0.04,0.03,0.9,3,-,0.4,0.2,54
